memberId	residentialState	branch	annualIncome	yearsEmployment	homeOwnership	incomeVerified	creditScore	dtiRatio	revolvingBalance	revolvingUtilizationRate	numDelinquency2Years	numDerogatoryRec	numInquiries6Mon	lengthCreditHistory	numOpenCreditLines	numTotalCreditLines	numChargeoff1year
24178	MN	Saint Paul	43676.83297	6-9 years	rent	1	693	27.53980742	148408.0564	41.69430618	0	0	0	1	7	13	0
24197	NY	Buffalo	68241.45194	1 year	own	1	735	26.57540538	70338.64638	59.49774714	2	0	1	19	10	20	2
24199	MS	Jackson	79325.68916	2-5 years	mortgage	1	709	20.57216004	120819.6071	42.94311001	0	0	0	11	16	17	0
24201	FL	Jacksonville	84459.17884	1 year	own	1	643	39.08871142	123777.5856	44.43726575	0	0	0	21	9	13	0
24203	KY	Louisville	85698.1912	1 year	mortgage	0	754	14.39304241	106247.2888	38.48409003	0	0	2	21	11	20	0
24208	KY	Lexington	55890.94341	2-5 years	mortgage	1	697	29.38979481	131601.1944	69.54763887	0	0	0	2	10	18	0
24220	KY	Lexington	79467.67176	6-9 years	own	0	745	15.6228121	124112.5936	77.11788838	0	1	0	4	13	19	0
24230	NM	Albuquerque	56801.51837	1 year	rent	1	691	29.72641244	108402.2331	41.34044355	0	0	0	4	14	17	0
24232	FL	Miami	62954.13353	1 year	own	1	639	25.94304323	99741.18531	59.94946681	0	0	0	19	17	19	0
24234	KY	Lexington	77068.34257	2-5 years	mortgage	0	702	17.14853567	94705.74197	56.5126257	0	0	0	10	9	17	0
24239	MN	Saint Paul	90868.15908	6-9 years	mortgage	0	685	30.12203347	158639.0443	42.17653525	0	1	0	1	7	11	0
24252	WA	Seattle	79295.50144	2-5 years	mortgage	1	647	28.98662825	143902.6922	37.94722088	0	0	10	21	15	20	0
24260	WV	Huntington	65982.63599	2-5 years	rent	1	872	22.96508507	194809.5087	50.40768672	0	3	11	4	17	20	0
24286	TX	San Antonio	44003.0184	< 1 year	rent	1	615	23.88978025	97630.36341	66.36545315	0	0	4	18	11	14	0
24296	IN	Indianapolis	90956.25406	10+ years	own	0	827	31.75653926	166326.0932	57.27039793	0	1	0	18	4	8	0
24303	ME	Lewiston	96216.14763	10+ years	rent	1	642	16.56818143	153474.7474	52.52642262	12	5	6	3	7	13	8
24313	NY	Rochester	98339.46451	6-9 years	own	0	747	23.31365536	141404.8142	66.9522006	1	0	0	1	6	12	1
24326	NH	Nashua	71644.24426	1 year	mortgage	1	748	21.46225115	166505.1227	68.60526141	12	0	0	11	7	9	6
24328	NM	Las Cruces	64706.95746	6-9 years	own	1	895	26.750518	173897.2668	61.56639033	0	5	0	12	9	16	0
24344	NH	Manchester	64225.27657	1 year	mortgage	1	647	32.6991505	132702.9708	72.97346452	0	3	1	21	14	21	0
24347	NY	Rochester	89557.40101	2-5 years	own	1	820	23.94076514	152049.7626	77.30848114	0	0	3	14	10	17	0
24352	SD	Sioux Falls	58993.7776	1 year	rent	0	653	37.54145055	103872.7059	45.79335043	0	0	6	8	11	21	0
24359	SD	Sioux Falls	78624.74253	1 year	rent	1	784	19.25205931	129479.2329	62.18938605	6	0	0	10	5	6	5
24368	CA	San Jose	93512.29417	1 year	own	1	763	15.29020374	97930.92343	30.67958006	0	0	0	24	15	19	0
24369	TX	San Antonio	77628.28056	< 1 year	mortgage	1	788	23.40198133	71985.84547	29.6998241	0	4	6	18	8	8	0
24386	NY	Rochester	44229.82758	< 1 year	rent	1	734	22.18795571	135959.2667	62.82281714	0	1	0	15	12	15	0
24393	NY	Buffalo	127522.894	10+ years	mortgage	1	792	23.99462719	171333.0863	58.05921435	3	0	0	2	7	9	2
24395	AZ	Tucson	96130.09952	6-9 years	mortgage	1	762	28.32025237	149823.0006	60.42697106	0	2	0	6	13	17	0
24397	NE	Lincoln	64286.34275	1 year	mortgage	1	800	26.10629209	133494.1047	56.42708002	0	0	4	22	14	19	0
24412	SC	North Charleston	88555.92379	1 year	rent	1	703	34.89896053	111463.6403	66.94944424	0	1	8	6	10	13	0
24429	NE	Omaha	88445.54098	1 year	rent	0	689	32.48409763	128549.1223	56.37996891	0	1	3	7	11	17	0
24432	WA	Tacoma	69760.42269	6-9 years	rent	0	668	30.40841304	138011.1602	47.65595217	0	0	4	8	12	14	0
24435	MD	Baltimore	64099.65655	< 1 year	own	1	856	28.33114309	104790.7428	52.01760102	0	0	2	15	14	15	0
24444	PA	Allentown	76030.36823	6-9 years	rent	1	758	29.97602648	82515.53341	47.62109446	0	0	1	10	11	13	0
24458	CA	Los Angeles	71345.51319	10+ years	mortgage	1	746	29.32788126	107962.0924	76.35813104	0	0	3	10	13	16	0
24468	OR	Portland	49564.03789	< 1 year	own	1	807	12.75406835	136692.296	81.35065958	0	4	0	17	5	9	0
24476	NM	Las Cruces	72538.04262	1 year	rent	1	798	21.00727944	142416.6551	49.62972885	0	1	6	4	9	13	0
24502	DC	Washington															
24537	TN	Knoxville	70260.91758	1 year	own	0	738	29.97745739	114559.412	58.64642954	0	0	4	3	10	16	0
24556	NH	Nashua	87420.18195	2-5 years	rent	1	815	21.02519024	148561.2798	25.74608965	0	0	4	2	14	16	0
24558	OR	Portland	83862.02352	< 1 year	mortgage	1	779	28.33205034	117679.5982	60.0579489	3	0	0	2	10	14	2
24567	ID	Nampa	126232.6907	6-9 years	mortgage	1	749	32.06162666	173622.3247	38.60470939	0	0	10	3	15	20	0
24577	TX	San Antonio	68903.42366	2-5 years	rent	1	817	23.17060805	112050.7268	64.97647135	0	4	1	13	20	21	0
24580	OR	Eugene	91311.89469	10+ years	mortgage	0	795	25.16917958	89973.13909	52.8624656	0	0	5	4	8	12	0
24584	CA	San Diego	82884.89173	< 1 year	mortgage	1	480	40.94643696	149202.3386	49.91489486	5	4	9	14	8	15	4
24588	KS	Overland Park	84778.27998	1 year	mortgage	1	720	38.86982081	124223.7181	46.88444555	0	0	0	6	11	14	0
24591	MA	Worcester	100400.7838	6-9 years	own	0	703	23.91190895	136205.6333	51.61587243	0	8	7	10	9	16	0
24604	ID	Nampa	90057.56615	1 year	rent	0	716	27.13073541	128956.3544	54.15342529	0	0	5	39	12	13	0
24607	VA	Virginia Beach	78178.33902	10+ years	mortgage	1	781	34.44137013	171463.3546	48.26591731	0	0	0	13	10	12	0
24610	MO	Kansas City	75864.10905	10+ years	own	1	791	26.02010502	164990.4833	52.06940842	0	2	0	10	13	18	0
24616	AR	Little Rock	72086.17947	1 year	mortgage	1	739	31.26498561	182175.9846	68.93824639	0	6	0	12	7	8	0
24619	KY	Lexington	94386.69533	< 1 year	mortgage	0	618	36.02034861	164906.6513	51.37472107	5	0	1	19	11	18	4
24625	MI	Grand Rapids	81688.73981	2-5 years	own	0	648	23.99738046	113182.8374	75.64309378	0	8	0	6	5	9	0
24630	LA	New Orleans	92164.86204	6-9 years	mortgage	0	735	25.90875146	160503.8141	74.79578259	0	0	3	25	17	20	0
24633	FL	Jacksonville	67494.15488	1 year	own	1	662	22.45815518	144677.8964	37.36424334	0	0	5	11	14	14	0
24635	NV	Reno	87144.75474	2-5 years	mortgage	1	698	37.1641736	138853.7793	51.64334558	7	0	5	22	7	12	4
24640	GA	Atlanta	73881.19653	2-5 years	mortgage	1	740	24.24097749	153752.183	76.40164087	0	0	0	1	8	11	0
24647	SD	Aberdeen	121690.1025	2-5 years	mortgage	1	724	20.72575066	186499.0809	40.50760499	0	0	0	11	4	8	0
24648	ME	Portland	127093.9906	10+ years	rent	1	753	33.09566308	166051.3424	53.84695784	0	3	0	5	8	9	0
24661	CA	Los Angeles	99041.21188	1 year	mortgage	1	773	27.96533599	123063.4656	40.26346958	0	0	2	3	14	19	0
24696	FL	Tampa	65055.00425	1 year	own	0	679	22.17946548	170101.4013	32.80463823	0	0	0	9	7	12	0
24702	DE	Dover	71602.2027	1 year	rent	0	700	25.02069295	133028.8302	52.12331379	3	0	1	8	19	21	2
24704	IA	Cedar Rapids	44724.40839	2-5 years	rent	1	795	26.97533733	111935.1862	65.44675347	0	0	3	12	13	13	0
24734	KY	Louisville	67046.96308	< 1 year	rent	0	673	23.93827391	152021.7196	80.98480304	0	0	4	19	17	19	0
24747	DC	Washington															
24760	WY	Cheyenne	55333.22114	1 year	mortgage	0	522	32.38449342	169311.8174	64.70993896	4	0	4	23	13	14	3
24765	MA	Boston	98677.65548	2-5 years	mortgage	1	769	27.42541912	190303.8433	43.46731327	0	1	0	20	12	19	0
24767	NJ	Jersey City	88531.7915	6-9 years	rent	1	723	30.93021602	145082.5337	36.83950529	0	0	3	14	7	9	0
24790	FL	Jacksonville	59282.14149	10+ years	mortgage	0	737	29.77006489	131716.5763	32.72836197	0	0	2	11	8	14	0
24793	CA	Los Angeles	62669.32936	6-9 years	rent	0	640	31.80819832	73937.01366	34.10184095	0	4	1	6	17	21	0
24801	IL	Chicago	93639.72581	6-9 years	rent	0	640	22.83642942	126476.2626	48.46987257	0	1	0	29	10	17	0
24830	DC	Washington															
24837	NH	Nashua	100622.6196	1 year	rent	0	832	22.20923224	188413.9317	50.74917169	0	0	4	6	13	16	0
24839	DC	Washington															
24852	SC	North Charleston	66381.27766	2-5 years	own	0	633	28.59036051	166954.5487	51.9673042	0	0	0	6	6	11	0
24855	MO	Kansas City	89115.04013	10+ years	rent	1	715	34.14542499	166336.6134	57.39000929	0	2	0	3	16	16	0
24857	NV	Reno	98018.10977	10+ years	own	1	764	42.99872943	161435.0511	51.15694694	0	0	0	14	16	21	0
24881	NY	New York City	86132.86942	1 year	rent	1	766	24.43666559	161181.2505	69.06663085	4	6	0	13	16	21	3
24885	MD	Baltimore	97329.1182	10+ years	own	0	653	22.91298961	176839.7764	35.42459478	4	0	1	6	13	15	3
24886	MT	Billings	105855.6718	1 year	rent	1	801	19.33053892	183667.0523	51.8544406	0	0	0	32	6	11	0
24893	MN	Minneapolis	71781.45399	1 year	own	0	826	20.79746133	103096.3724	65.98232922	0	0	0	29	13	19	0
24905	TN	Nashville	108165.5025	10+ years	mortgage	0	749	18.95395247	133436.1166	59.95779637	0	5	2	12	4	7	0
24907	MA	Boston	86163.55753	6-9 years	mortgage	1	697	20.55137077	125274.0059	60.08824742	3	1	3	2	12	15	3
24913	WA	Seattle	82466.93304	10+ years	mortgage	1	880	19.41942463	127485.3142	60.27926358	0	0	0	14	10	11	0
24928	DC	Washington															
24929	NV	Las Vegas	62270.07031	1 year	own	0	630	19.92470221	100351.6917	54.95586731	0	0	0	2	17	18	0
24937	MS	Jackson	89377.85991	1 year	rent	1	665	17.27560437	97364.58806	59.12235799	0	4	0	10	16	18	0
24959	SD	Sioux Falls	68321.98412	< 1 year	rent	0	573	21.31847969	165675.3275	39.87803791	9	0	4	23	11	20	6
24963	NE	Omaha	112383.2383	1 year	mortgage	1	694	33.87597117	97701.05217	83.77937913	4	0	0	14	7	13	4
24978	AR	Little Rock	41204.39021	1 year	own	0	830	23.29495815	116248.4387	84.11517411	0	0	10	29	13	13	0
25011	OR	Gresham	110288.053	10+ years	mortgage	1	818	24.3012808	144743.1066	67.06408096	0	0	0	2	12	17	0
25022	FL	Miami	53514.0376	2-5 years	own	1	734	41.41458833	103768.3935	37.18659145	0	0	7	5	19	20	0
25025	AR	Fort Smith	31073.64342	1 year	rent	1	769	29.84380011	139340.3611	30.97854279	0	0	1	9	9	15	0
25029	IN	Indianapolis	77802.3035	1 year	mortgage	1	645	26.64250992	119805.2758	36.12144106	0	3	5	20	7	10	0
25038	VT	Burlington	94935.86694	1 year	mortgage	0	718	21.4622115	107432.0563	57.2548726	0	0	2	10	5	9	0
25051	NY	New York City	66459.42051	1 year	mortgage	1	641	33.84429583	105778.8317	36.31606305	3	0	0	2	13	15	3
25063	WV	Huntington	103304.5198	< 1 year	mortgage	1	704	18.69459125	130154.4515	66.94855862	0	0	0	13	6	7	0
25064	NJ	Jersey City	63152.34914	10+ years	own	1	569	36.07370679	124200.2906	37.72939281	1	8	8	9	14	17	1
25065	MS	Jackson	100443.9025	< 1 year	mortgage	0	600	34.63518583	138172.7183	47.54961252	0	4	0	17	8	14	0
25093	LA	New Orleans	85362.23211	2-5 years	rent	1	714	25.54784266	113848.4775	57.3681556	0	0	1	5	12	16	0
25099	MN	Minneapolis	84549.29372	10+ years	rent	1	719	26.03870927	181397.6722	59.45436703	0	2	0	2	5	6	0
25109	NY	New York City	90269.83681	10+ years	own	1	862	31.46673522	111946.374	56.50226226	0	1	2	17	16	19	0
25119	FL	Tampa	82521.28379	2-5 years	own	1	795	26.79647141	152209.809	64.03463954	0	3	6	22	18	20	0
25120	NM	Albuquerque	73147.56105	1 year	rent	1	507	34.75392662	97074.98814	45.5776652	12	0	0	1	6	11	8
25161	SD	Aberdeen	82808.50057	6-9 years	mortgage	1	839	20.64050604	175256.1727	82.13727087	0	0	0	3	11	18	0
25179	ID	Boise	76305.23824	10+ years	own	1	782	27.27595185	117833.6129	49.70343045	2	0	3	1	12	22	1
25196	FL	Jacksonville	91213.2361	6-9 years	own	1	831	18.21277516	127268.1123	45.00208099	0	2	0	4	7	12	0
25202	ND	Bismarck	68318.40593	< 1 year	rent	1	669	29.48685199	171847.8548	52.55191634	0	3	4	17	12	13	0
25228	WA	Seattle	68038.8582	10+ years	mortgage	1	811	27.83836495	137441.0049	62.44393289	0	3	2	16	10	17	0
25229	CA	Los Angeles	85409.09144	10+ years	rent	1	989	22.34419571	127901.9871	67.04988437	0	1	6	10	13	19	0
25230	NC	Raleigh	94337.05679	< 1 year	mortgage	1	674	20.60423387	163742.4763	37.80757824	0	0	3	16	8	15	0
25234	NM	Las Cruces	78247.09147	10+ years	rent	1	782	24.7945914	125914.434	36.91684423	0	0	1	27	10	19	0
25244	FL	Miami	97385.68701	2-5 years	mortgage	0	622	31.11090062	112007.4762	56.89136444	2	0	5	6	13	19	2
25247	WY	Cheyenne	66663.80518	2-5 years	own	1	951	15.16365921	168630.6469	55.27944027	0	0	0	33	15	21	0
25265	IN	Indianapolis	96989.16534	10+ years	mortgage	1	730	16.82330882	170906.0895	35.15362762	0	0	5	21	7	9	0
25267	IL	Chicago	80008.58968	10+ years	mortgage	1	809	21.94387754	59025.29602	48.75924926	0	3	0	17	3	5	0
25274	NY	Buffalo	54451.19416	< 1 year	own	1	635	24.71491052	101273.0453	48.05510667	0	0	0	22	7	8	0
25283	SD	Sioux Falls	54262.87003	1 year	own	1	794	19.80572039	133072.0193	54.04292521	0	0	2	4	13	20	0
25284	ME	Lewiston	82551.07981	1 year	own	1	724	22.42472048	112198.0219	28.48154398	6	0	0	26	7	12	4
25286	DC	Washington															
25294	OH	Cleveland	63648.40355	2-5 years	own	1	868	21.70053156	139461.533	54.51688102	0	0	0	4	11	14	0
25306	KS	Overland Park	78791.3767	6-9 years	mortgage	1	627	24.00756857	122124.0845	60.7354374	12	10	0	14	22	26	9
25308	TX	Houston	75462.43492	1 year	own	1	633	30.46734762	151964.1826	39.33126793	13	0	0	11	6	10	12
25328	CA	San Jose	20049.32863	2-5 years	own	1	714	32.8133949	78908.48579	38.95207214	0	0	0	8	7	10	0
25340	TN	Knoxville	84852.57894	1 year	rent	1	649	36.10690926	187694.9345	55.0289374	5	0	7	20	8	14	5
25350	MI	Grand Rapids	85635.08003	< 1 year	rent	0	583	20.4489096	138458.9409	52.36035674	0	2	0	17	6	11	0
25364	TN	Nashville	55940.95404	6-9 years	mortgage	0	684	19.6712715	112206.0927	38.93186126	0	0	1	8	9	15	0
25365	MI	Grand Rapids	75494.29588	< 1 year	own	1	683	34.00674245	120001.7289	57.41909573	0	0	0	18	18	20	0
25369	ND	Fargo	85245.26776	6-9 years	rent	1	776	16.53290489	124207.3698	47.59860832	0	0	0	8	12	18	0
25384	MN	Saint Paul	104552.7021	10+ years	rent	0	651	25.53977115	133898.5932	59.21535333	1	0	2	32	14	15	1
25394	MO	Saint Louis	71056.67633	6-9 years	own	1	801	19.17431584	140945.5079	51.64610592	0	0	4	16	14	15	0
25408	ME	Portland	76546.25379	2-5 years	rent	1	631	31.08030354	130751.4374	37.7528974	0	0	0	30	16	18	0
25418	SC	Columbia	81438.88225	< 1 year	own	1	680	33.33730173	143397.4068	47.89755022	0	0	4	20	12	12	0
25437	MN	Saint Paul	83134.46563	6-9 years	mortgage	1	705	26.38991299	121440.423	52.15529743	0	0	1	11	15	22	0
25441	TX	San Antonio	66641.19265	< 1 year	mortgage	0	580	25.15795864	142023.7984	50.21101512	1	2	0	8	9	13	1
25450	NJ	Newark	98032.56249	1 year	mortgage	1	775	13.01351964	101472.3637	40.94814065	0	0	0	21	12	19	0
25469	OH	Columbus	82583.80515	< 1 year	rent	0	780	29.93752754	115708.9051	60.61017647	0	0	0	25	12	16	0
25471	SD	Rapid City	97363.90502	10+ years	mortgage	1	694	36.77894428	126594.1532	59.02789659	0	1	0	8	7	13	0
25490	MA	Boston	61695.49646	< 1 year	rent	1	756	23.81693503	115817.2289	66.56687163	0	0	10	9	11	17	0
25500	TN	Nashville	69712.39424	2-5 years	own	1	786	21.91731486	128761.7073	40.59302118	1	0	1	9	11	14	1
25545	CO	Colorado Springs	115058.2	6-9 years	mortgage	0	785	23.72456491	193692.0772	31.66839919	0	3	3	4	11	15	0
25553	NV	Las Vegas	67160.11285	< 1 year	rent	1	535	33.33917955	114988.2452	63.37480771	11	3	0	21	16	18	11
25571	KS	Wichita	80507.55185	2-5 years	rent	0	691	30.25091948	135307.3022	60.89523942	0	0	0	8	8	12	0
25585	NY	Buffalo	109458.5863	6-9 years	mortgage	1	761	24.11214509	142679.822	58.07983453	0	0	1	8	9	11	0
25592	MD	Baltimore	47320.4532	< 1 year	mortgage	1	734	22.37833902	152472.3282	36.9072491	0	0	9	3	7	14	0
25596	FL	Jacksonville	103097.5903	2-5 years	mortgage	0	625	38.14233159	132328.4278	27.97485689	0	0	0	19	13	15	0
25638	NE	Lincoln	67988.85461	2-5 years	own	1	674	28.96688772	119195.2116	74.73132559	0	0	2	25	19	19	0
25650	FL	Jacksonville	75438.41907	1 year	mortgage	0	593	36.65847476	121609.9272	57.9959496	0	4	5	16	8	14	0
25660	SD	Sioux Falls	89296.93565	1 year	rent	1	772	26.7330002	141639.7445	47.88112554	0	0	8	12	16	18	0
25677	FL	Jacksonville	108399.4654	10+ years	own	0	715	34.6408252	182291.0101	61.01513918	0	0	0	10	11	17	0
25678	NY	Rochester	43349.84338	2-5 years	own	0	773	33.57626134	144591.7496	67.07006342	0	12	0	4	14	23	0
25690	TX	Dallas	59391.76987	10+ years	own	0	638	23.36571377	176226.5814	62.33186265	1	0	0	13	19	19	1
25710	WI	Milwaukee	77524.56257	10+ years	own	1	797	17.73434852	142409.383	76.93825776	0	0	0	17	13	13	0
25715	ME	Portland	91823.81062	6-9 years	mortgage	1	677	30.5789706	93953.99889	47.71790301	0	3	0	6	6	10	0
25723	OR	Eugene	66175.71127	10+ years	mortgage	1	826	20.01131524	140461.2043	26.27195474	0	0	0	1	9	17	0
25738	SD	Rapid City	104790.2222	6-9 years	rent	0	597	35.14007659	115845.7165	35.36304139	0	0	0	13	13	19	0
25740	NH	Manchester	90946.24651	2-5 years	rent	0	714	22.09129237	159401.882	38.8925134	5	0	0	11	11	18	4
25748	WA	Seattle	48810.83965	< 1 year	rent	1	734	36.43537776	158516.3798	43.32434127	3	0	5	4	12	18	3
25755	RI	Providence	15638.03259	< 1 year	rent	1	756	35.93394457	62135.5383	57.81068173	0	6	0	18	14	14	0
25757	MS	Jackson	91532.62261	10+ years	mortgage	0	828	31.09110267	148186.0444	40.04123915	0	0	0	15	11	14	0
25762	CA	San Jose	108145.039	< 1 year	mortgage	1	747	25.30204802	178161.1391	48.14768542	0	0	0	9	14	18	0
25766	NM	Albuquerque	78859.94103	6-9 years	own	0	776	29.63050622	129894.9314	46.92797074	0	6	1	34	2	3	0
25772	MS	Jackson	76269.29387	2-5 years	rent	1	729	23.34474276	103121.6189	56.63883502	0	0	0	28	16	21	0
25774	NY	New York City	107743.2053	10+ years	mortgage	1	700	27.24516272	153878.9835	62.32635385	0	0	0	1	11	15	0
25775	MS	Gulfport	87735.72087	1 year	rent	0	574	25.96172023	137020.7506	30.30010728	0	0	0	34	7	9	0
25806	OH	Columbus	94551.63196	2-5 years	own	1	757	17.00767579	140988.7871	77.03805562	0	0	12	7	12	18	0
25814	CA	San Jose	95356.46928	2-5 years	rent	0	777	23.11607195	164646.195	30.35702491	0	0	4	18	13	16	0
25827	CT	New Haven	89655.18177	6-9 years	rent	1	749	20.01723341	162003.2276	42.2150889	0	0	0	4	15	16	0
25833	NH	Manchester	58596.98894	1 year	own	1	670	27.13372055	174967.8124	79.29656464	0	5	2	2	7	9	0
25836	NV	Reno	90840.23312	6-9 years	mortgage	1	685	12.56190377	120299.2252	45.9083448	7	3	0	5	9	17	4
25838	CA	Los Angeles	80661.21941	10+ years	rent	1	761	32.25873929	146939.5313	76.31449892	1	0	3	33	12	13	1
25846	NY	New York City	64298.68964	6-9 years	mortgage	1	753	20.41796794	160715.3782	63.1019854	0	0	0	12	7	8	0
25862	DC	Washington															
25880	NV	Las Vegas	34358.1579	< 1 year	rent	1	630	23.36589899	156271.5517	64.51286993	0	0	1	41	8	12	0
25883	DC	Washington															
25890	MA	Boston	62808.06322	1 year	mortgage	1	640	36.6404218	83604.87338	48.28266568	0	0	0	7	14	20	0
25901	DC	Washington															
25908	NM	Albuquerque	95611.54463	6-9 years	mortgage	1	745	24.94363019	153816.6315	63.41381135	0	0	0	2	13	18	0
25909	NH	Manchester	57516.81864	< 1 year	own	1	791	23.39387174	110220.7499	39.8883674	0	4	0	3	10	18	0
25913	CA	San Jose	124879.7883	10+ years	rent	1	831	39.58452062	141335.9398	70.17685562	0	0	8	3	12	15	0
25924	MT	Missoula	83355.02583	< 1 year	rent	1	675	41.89118162	165553.0497	44.64663234	2	0	0	30	15	15	2
25926	CT	Bridgeport	87164.01476	6-9 years	rent	0	620	37.41646478	192546.9145	62.71327191	4	0	10	10	8	15	3
25927	SC	Columbia	97790.01816	10+ years	rent	1	817	21.96650631	160605.031	29.69123219	0	0	0	21	10	13	0
25929	SD	Sioux Falls	43838.75408	1 year	rent	1	687	25.53152566	139073.209	54.90991346	0	0	0	15	16	22	0
25934	WA	Seattle	110789.011	< 1 year	mortgage	1	697	23.15004861	170524.1389	35.59893941	0	0	10	3	14	16	0
25936	NC	Charlotte	65487.50348	6-9 years	mortgage	1	804	23.44836616	91523.43335	70.04333301	0	0	8	22	12	24	0
25941	MA	Worcester	88295.02642	1 year	mortgage	1	691	31.03385476	146351.5137	78.24444443	0	0	0	19	14	20	0
25944	NY	Rochester	96255.5915	2-5 years	mortgage	1	858	18.05424386	139338.3337	46.49100292	2	1	1	15	12	14	1
25954	NE	Omaha	73352.32214	2-5 years	mortgage	0	628	22.87106312	155984.6363	70.69663393	0	0	0	24	22	23	0
25963	NY	New York City	75419.68297	6-9 years	mortgage	1	612	29.27231468	138510.4866	47.50306422	1	0	1	10	8	9	1
25964	NH	Nashua	92193.44459	6-9 years	mortgage	1	707	28.68925665	116097.9267	64.56976157	14	0	0	6	12	20	12
25966	RI	Cranston	90337.305	2-5 years	rent	0	838	20.12383989	132788.9375	57.59913702	0	0	2	5	18	21	0
25969	RI	Providence	88682.85918	6-9 years	mortgage	1	688	36.48190748	123267.9802	54.56629641	0	0	2	19	7	10	0
25986	RI	Providence	54406.12237	< 1 year	rent	1	767	26.58664867	108505.2666	56.75983619	0	2	0	11	19	21	0
25987	MO	Saint Louis	79285.80164	1 year	own	0	658	28.79565995	165990.9179	57.21570615	0	3	0	10	13	18	0
25988	TN	Knoxville	103434.4005	1 year	mortgage	0	761	29.98385608	118041.6368	73.1917815	0	0	0	13	7	13	0
25999	NC	Raleigh	58687.37766	2-5 years	own	1	753	37.26704691	151060.1948	66.24631438	0	0	0	10	14	16	0
26006	NM	Las Cruces	98817.11081	2-5 years	mortgage	1	813	27.39766484	120648.6084	37.47818479	1	0	0	4	17	20	1
26007	ME	Lewiston	86715.38859	10+ years	own	1	890	20.085974	194982.0743	56.50338748	0	0	1	20	2	3	0
26009	AL	Mobile	61069.28696	1 year	own	1	791	22.30445253	126695.7392	48.74185552	0	0	1	40	5	8	0
26029	NJ	Jersey City	74662.19426	10+ years	mortgage	1	624	35.51877369	147226.9299	74.53137942	11	9	0	5	9	16	6
26033	NY	Buffalo	54710.12491	< 1 year	own	0	758	18.16855519	80888.89942	61.54506138	0	3	4	23	12	14	0
26037	ID	Boise	76418.04702	6-9 years	mortgage	1	852	21.91471998	171710.2546	43.61642675	0	0	0	9	7	13	0
26042	TX	San Antonio	69127.71977	< 1 year	own	0	672	26.19252215	140607.7708	60.39412938	0	0	0	10	12	24	0
26043	MS	Jackson	79414.82085	< 1 year	own	1	702	29.76785409	86196.63615	37.7063503	0	3	0	24	11	15	0
26073	NE	Lincoln	95372.46183	< 1 year	mortgage	1	784	27.81334917	155150.0455	54.30137278	0	0	0	10	20	21	0
26082	NV	Las Vegas	62152.44998	2-5 years	own	1	843	20.40060193	120400.1989	43.58228384	0	0	0	14	7	12	0
26087	FL	Jacksonville	82014.53678	10+ years	mortgage	1	881	15.99856792	175543.5145	55.00502492	0	0	3	7	7	12	0
26095	WV	Huntington	70072.29404	10+ years	mortgage	0	679	29.93127235	137022.0681	71.13290489	0	0	0	10	12	18	0
26099	WA	Tacoma	91762.31828	2-5 years	mortgage	1	789	22.24400607	140825.372	51.8567399	0	0	2	2	17	19	0
26112	PA	Pittsburgh	64870.76685	< 1 year	rent	0	655	29.40182432	116384.2977	36.3705076	0	0	9	2	6	8	0
26127	KY	Louisville	96705.70183	10+ years	mortgage	1	784	25.12389571	129416.0859	37.33496035	0	0	5	16	10	15	0
26139	MI	Grand Rapids	78750.2851	1 year	mortgage	1	793	21.75744085	137516.4872	51.04454056	0	0	0	4	11	14	0
26173	FL	Jacksonville	97244.77215	2-5 years	own	1	767	16.48662349	151627.1041	29.53816146	0	0	8	11	16	21	0
26176	DC	Washington															
26177	FL	Miami	87054.85445	2-5 years	mortgage	0	793	25.21609262	114131.707	58.16533185	0	0	0	6	5	10	0
26189	IA	Cedar Rapids	93516.75305	1 year	mortgage	1	685	37.09525606	144642.4021	56.04082248	5	0	0	3	15	16	5
26227	NY	Rochester	65579.53095	2-5 years	own	1	662	26.57789785	91482.36843	31.65917958	0	0	6	24	13	15	0
26235	DC	Washington															
26245	TX	San Antonio	105420.3082	10+ years	own	1	661	36.42262298	129487.4315	62.78119327	2	4	7	23	7	11	1
26252	FL	Jacksonville	86029.15008	6-9 years	own	1	837	21.44118666	40972.24331	59.09520189	0	1	3	10	7	14	0
26254	MN	Saint Paul	73211.39649	6-9 years	mortgage	0	681	40.86181376	153406.5544	62.53419774	0	0	6	8	7	9	0
26255	RI	Providence	86869.24178	6-9 years	rent	0	662	31.47829062	97491.80557	40.51494726	0	0	0	8	12	20	0
26264	DC	Washington															
26268	MO	Saint Louis	62737.39107	10+ years	rent	1	788	26.51210186	91792.42147	45.93375472	0	0	5	19	8	16	0
26270	KY	Louisville	72771.61001	< 1 year	mortgage	1	747	18.74446107	151530.601	73.70135237	0	0	0	4	8	13	0
26273	WA	Spokane	62000.67842	1 year	rent	1	700	31.94512609	139971.302	47.49946262	4	0	2	18	12	12	2
26280	KS	Wichita	89411.22449	< 1 year	rent	1	795	29.40348673	166851.8292	54.74358825	0	1	15	5	14	16	0
26306	FL	Miami	58756.95663	6-9 years	own	0	815	25.09731036	99333.77484	52.91104296	0	0	9	12	12	14	0
26322	OR	Portland	76653.18663	< 1 year	own	1	730	36.66395657	124328.9256	52.02426219	0	0	2	15	12	14	0
26325	RI	Providence	86618.14119	< 1 year	own	1	635	26.99912209	120002.2821	47.04348369	0	0	0	29	15	16	0
